Unnamed: 0,image,qalign_point,score
0,image_0_0.jpg,7.09,6.35
1,image_0_1.jpg,6.99,7.45
2,image_0_2.jpg,2.51,2.24
3,image_1_0.jpg,7.95,7.393
4,image_1_1.jpg,7.78,8.38
5,image_1_2.jpg,3.14,3.09
6,image_2_0.jpg,7.63,6.94
7,image_2_1.jpg,7.65,7.81
8,image_2_2.jpg,3.51,3.09
9,image_3_0.jpg,7.49,6.56
10,image_3_1.jpg,7.05,7.67
11,image_3_2.jpg,3.23,3.2
12,image_4_0.jpg,7.57,7.02
13,image_4_1.jpg,7.52,7.86
14,image_4_2.jpg,3.6,3.59
15,image_5_0.jpg,7.15,6.28
16,image_5_1.jpg,7.24,7.28
17,image_5_2.jpg,3.34,3.06
18,image_6_0.jpg,8.96,7.91
19,image_6_1.jpg,8.8,8.89
20,image_6_2.jpg,2.51,2.32
21,image_7_0.jpg,8.24,7.32
22,image_7_1.jpg,8.43,8.32
23,image_7_2.jpg,3.23,3.08
24,image_8_0.jpg,8.14,7.24
25,image_8_1.jpg,8.17,7.9
26,image_8_2.jpg,2.79,2.69
27,image_9_0.jpg,7.17,6.34
28,image_9_1.jpg,7.09,6.94
29,image_9_2.jpg,2.61,2.19
30,image_10_0.jpg,7.85,7.16
31,image_10_1.jpg,7.7,7.85
32,image_10_2.jpg,3.51,3.29
33,image_11_0.jpg,8.09,7.64
34,image_11_1.jpg,7.89,8.36
35,image_11_2.jpg,3.72,3.78
36,image_12_0.jpg,7.99,7.52
37,image_12_1.jpg,7.79,8.02
38,image_12_2.jpg,3.83,3.6
39,image_13_0.jpg,6.58,6.37
40,image_13_1.jpg,4.08,4.99
41,image_13_2.jpg,2.7,2.41
42,image_14_0.jpg,8.05,7.59
43,image_14_1.jpg,7.89,8.16
44,image_14_2.jpg,3.22,3.08
45,image_15_0.jpg,8.75,8.07
46,image_15_1.jpg,6.99,7.82
47,image_15_2.jpg,3.88,3.73
48,image_16_0.jpg,7.39,7.15
49,image_16_1.jpg,4.03,4.59
50,image_16_2.jpg,2.33,2.08
51,image_17_0.jpg,7.45,6.99
52,image_17_1.jpg,5.6,5.91
53,image_17_2.jpg,2.72,2.66
54,image_18_0.jpg,6.83,6.46
55,image_18_1.jpg,6.21,6.92
56,image_18_2.jpg,2.69,2.14
57,image_19_0.jpg,8.39,7.58
58,image_19_1.jpg,8.62,8.49
59,image_19_2.jpg,3.1,2.95
60,image_20_0.jpg,8.53,8.2
61,image_20_1.jpg,8.27,8.56
62,image_20_2.jpg,3.5,3.19
63,image_21_0.jpg,7.49,7.0
64,image_21_1.jpg,7.55,7.68
65,image_21_2.jpg,3.71,3.22
66,image_22_0.jpg,7.63,7.29
67,image_22_1.jpg,7.4,7.84
68,image_22_2.jpg,3.58,3.26
69,image_23_0.jpg,7.98,7.59
70,image_23_1.jpg,8.2,8.42
71,image_23_2.jpg,3.6,3.26
72,image_24_0.jpg,7.96,7.81
73,image_24_1.jpg,7.81,8.63
74,image_24_2.jpg,2.96,3.05
75,image_25_0.jpg,6.96,6.45
76,image_25_1.jpg,7.13,7.62
77,image_25_2.jpg,2.78,2.5
78,image_26_0.jpg,8.13,7.38
79,image_26_1.jpg,8.26,8.57
80,image_26_2.jpg,3.82,3.47
81,image_27_0.jpg,7.61,7.21
82,image_27_1.jpg,7.34,7.77
83,image_27_2.jpg,2.74,2.31
84,image_28_0.jpg,6.82,6.19
85,image_28_1.jpg,5.84,6.0
86,image_28_2.jpg,2.62,2.23
87,image_29_0.jpg,7.04,6.75
88,image_29_1.jpg,7.29,7.72
89,image_29_2.jpg,2.77,2.44
90,image_30_0.jpg,6.17,5.94
91,image_30_1.jpg,5.13,5.98
92,image_30_2.jpg,2.79,2.48
93,image_31_0.jpg,8.11,7.06
94,image_31_1.jpg,7.87,8.29
95,image_31_2.jpg,2.87,2.63
96,image_32_0.jpg,7.89,7.49
97,image_32_1.jpg,7.63,8.45
98,image_32_2.jpg,3.89,3.51
99,image_33_0.jpg,7.91,7.39
100,image_33_1.jpg,7.74,8.19
101,image_33_2.jpg,3.86,3.31
102,image_34_0.jpg,8.54,8.06
103,image_34_1.jpg,8.02,8.37
104,image_34_2.jpg,3.2,2.99
105,image_35_0.jpg,7.88,7.27
106,image_35_1.jpg,3.58,3.81
107,image_35_2.jpg,2.3,2.38
108,image_36_0.jpg,5.62,5.55
109,image_36_1.jpg,6.24,6.99
110,image_36_2.jpg,3.26,2.81
111,image_37_0.jpg,6.04,5.36
112,image_37_1.jpg,6.79,6.66
113,image_37_2.jpg,2.62,2.19
114,image_38_0.jpg,8.01,7.59
115,image_38_1.jpg,8.0,8.14
116,image_38_2.jpg,4.27,4.13
117,image_39_0.jpg,8.26,7.81
118,image_39_1.jpg,8.24,8.46
119,image_39_2.jpg,4.2,3.93
120,image_40_0.jpg,8.23,8.01
121,image_40_1.jpg,7.01,7.67
122,image_40_2.jpg,3.04,2.62
123,image_41_0.jpg,7.3,7.14
124,image_41_1.jpg,6.36,7.15
125,image_41_2.jpg,2.93,2.27
126,image_42_0.jpg,7.05,6.61
127,image_42_1.jpg,6.1,6.83
128,image_42_2.jpg,2.5,2.17
129,image_43_0.jpg,8.56,7.7
130,image_43_1.jpg,8.43,8.72
131,image_43_2.jpg,3.94,3.52
132,image_44_0.jpg,8.11,7.48
133,image_44_1.jpg,8.17,8.22
134,image_44_2.jpg,3.33,2.98
135,image_45_0.jpg,7.31,6.61
136,image_45_1.jpg,7.64,7.74
137,image_45_2.jpg,3.09,2.59
138,image_46_0.jpg,7.72,7.62
139,image_46_1.jpg,7.98,8.48
140,image_46_2.jpg,2.62,2.72
141,image_47_0.jpg,7.48,7.17
142,image_47_1.jpg,6.61,7.51
143,image_47_2.jpg,2.76,2.4
144,image_48_0.jpg,8.14,7.58
145,image_48_1.jpg,8.34,8.88
146,image_48_2.jpg,3.27,2.77
147,image_49_0.jpg,6.26,6.04
148,image_49_1.jpg,7.4,7.5
149,image_49_2.jpg,2.8,2.29
150,image_50_0.jpg,7.61,7.4
151,image_50_1.jpg,7.24,7.91
152,image_50_2.jpg,3.47,3.13
153,image_51_0.jpg,8.05,7.59
154,image_51_1.jpg,7.73,8.43
155,image_51_2.jpg,2.97,2.52
156,image_52_0.jpg,7.78,7.07
157,image_52_1.jpg,6.82,6.64
158,image_52_2.jpg,2.7,2.46
159,image_53_0.jpg,8.71,8.29
160,image_53_1.jpg,8.47,8.93
161,image_53_2.jpg,3.92,3.66
162,image_54_0.jpg,7.92,7.49
163,image_54_1.jpg,7.22,7.66
164,image_54_2.jpg,2.53,2.18
165,image_55_0.jpg,7.05,6.83
166,image_55_1.jpg,7.23,7.79
167,image_55_2.jpg,2.52,2.16
168,image_56_0.jpg,8.16,7.45
169,image_56_1.jpg,5.98,6.68
170,image_56_2.jpg,3.16,2.86
171,image_57_0.jpg,7.33,7.04
172,image_57_1.jpg,7.93,8.45
173,image_57_2.jpg,2.78,2.65
174,image_58_0.jpg,7.7,7.27
175,image_58_1.jpg,5.52,6.65
176,image_58_2.jpg,3.15,2.83
177,image_59_0.jpg,5.9,6.14
178,image_59_1.jpg,6.61,7.59
179,image_59_2.jpg,2.43,2.31
180,image_60_0.jpg,7.83,7.36
181,image_60_1.jpg,7.03,7.59
182,image_60_2.jpg,3.34,3.04
183,image_61_0.jpg,6.12,5.84
184,image_61_1.jpg,6.62,6.86
185,image_61_2.jpg,2.65,2.35
186,image_62_0.jpg,7.33,7.01
187,image_62_1.jpg,7.68,8.2
188,image_62_2.jpg,2.81,2.6
189,image_63_0.jpg,7.53,7.05
190,image_63_1.jpg,7.13,7.81
191,image_63_2.jpg,3.13,2.93
192,image_64_0.jpg,7.89,7.2
193,image_64_1.jpg,7.51,7.53
194,image_64_2.jpg,2.86,2.33
195,image_65_0.jpg,7.41,7.09
196,image_65_1.jpg,7.04,7.35
197,image_65_2.jpg,2.85,2.52
198,image_66_0.jpg,7.64,7.17
199,image_66_1.jpg,6.96,7.72
200,image_66_2.jpg,2.78,2.68
201,image_67_0.jpg,7.02,6.62
202,image_67_1.jpg,7.05,7.39
203,image_67_2.jpg,2.66,2.36
204,image_68_0.jpg,7.76,7.36
205,image_68_1.jpg,7.9,8.22
206,image_68_2.jpg,3.07,2.81
207,image_69_0.jpg,7.48,7.02
208,image_69_1.jpg,8.01,8.56
209,image_69_2.jpg,2.93,2.55
210,image_70_0.jpg,7.57,7.04
211,image_70_1.jpg,6.43,6.96
212,image_70_2.jpg,3.04,2.68
213,image_71_0.jpg,7.88,7.6
214,image_71_1.jpg,5.53,6.27
215,image_71_2.jpg,3.12,2.53
216,image_72_0.jpg,7.73,7.73
217,image_72_1.jpg,7.19,7.72
218,image_72_2.jpg,3.24,2.8
219,image_73_0.jpg,8.31,7.71
220,image_73_1.jpg,7.47,8.22
221,image_73_2.jpg,3.2,2.88
222,image_74_0.jpg,7.98,7.78
223,image_74_1.jpg,8.0,8.28
224,image_74_2.jpg,3.19,3.08
225,image_75_0.jpg,8.27,7.53
226,image_75_1.jpg,7.3,7.65
227,image_75_2.jpg,2.42,2.22
228,image_76_0.jpg,7.29,6.89
229,image_76_1.jpg,7.57,7.99
230,image_76_2.jpg,2.36,2.17
231,image_77_0.jpg,7.35,7.24
232,image_77_1.jpg,7.39,8.19
233,image_77_2.jpg,3.19,3.03
234,image_78_0.jpg,8.49,7.97
235,image_78_1.jpg,7.95,8.36
236,image_78_2.jpg,3.45,3.23
237,image_79_0.jpg,8.39,7.89
238,image_79_1.jpg,8.45,8.75
239,image_79_2.jpg,3.56,3.23
240,image_80_0.jpg,7.28,7.21
241,image_80_1.jpg,7.57,8.11
242,image_80_2.jpg,2.54,2.52
243,image_81_0.jpg,7.86,7.25
244,image_81_1.jpg,8.11,8.51
245,image_81_2.jpg,3.94,3.57
246,image_82_0.jpg,8.32,7.85
247,image_82_1.jpg,8.35,8.74
248,image_82_2.jpg,3.55,3.13
249,image_83_0.jpg,8.16,7.7
250,image_83_1.jpg,8.08,8.72
251,image_83_2.jpg,2.45,2.1
252,image_84_0.jpg,7.43,7.24
253,image_84_1.jpg,7.45,7.8
254,image_84_2.jpg,2.23,1.77
255,image_85_0.jpg,8.1,7.61
256,image_85_1.jpg,8.3,8.19
257,image_85_2.jpg,2.36,2.1
258,image_86_0.jpg,7.94,7.69
259,image_86_1.jpg,7.96,8.47
260,image_86_2.jpg,3.71,3.23
